.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #MamaBear, #NeverBama1, 12th Man, Aaron's Team, ADTESQ, After Further Review, Amy Senders, Backroom Deals, Best Logo Wins, Biscuit's Ball, Blind Dog's Bluff, Blindhog 2017, Bumblerooski, Cjepson, ConflictofInterest, Corgidawg, Cowboy, CUTIE PIE, D-bo, Dirk Diggler, Do. Or do not., Doc, Eclipse, EM43, EVA, Fake News, Gkid7, GlamKam, Godiva, GoForBones, Gussysue, Invanka Trump, Jake and the Neverland Pirates, Katyusa, Krazy Koochies, LaDolceVida, LUCKY IN 2017, Maine Chic, O'Pooh, OSUX3 Fan, Putin's Dog, Red Five, SantaCruzBill, Spem in perpetuum, Spiker, T-Bone, Team Ellie Mae, Texas Giants, THE BEAVERS WON THE CIVIL WAR AND THAT IS ALL THAT MATTERS, The Dude, The force is strong with this one, Thetis, Troll Factory Inc, Trollmaster, Tyrone Swoopes, West Coast Bias, You are my only hope, Zena

   "1", "MIAMI BEACH BOWL", "Tulsa", "Central Michigan", "11.5", "Tulsa", "Central Michigan", "Tulsa", "Central Michigan", "Tulsa", "Tulsa", "Tulsa", "Central Michigan", "Tulsa", "Tulsa", "Tulsa", "Central Michigan", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa\ :sup:`*`", "Tulsa", "Tulsa", "Tulsa\ :sup:`*`", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa\ :sup:`*`", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Central Michigan", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Central Michigan", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa", "Tulsa"
   "2", "BOCA RATON BOWL", "Western Kentucky", "Memphis", "4.5", "Memphis", "Memphis", "Memphis", "Western Kentucky", "Western Kentucky", "Memphis", "Western Kentucky", "Western Kentucky", "Memphis", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Memphis", "Memphis", "Western Kentucky", "Memphis", "Memphis", "Memphis", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Memphis", "Memphis", "Western Kentucky", "Memphis", "Western Kentucky", "Memphis", "Memphis", "Western Kentucky", "Western Kentucky", "Memphis", "Memphis", "Western Kentucky", "Memphis", "Memphis", "Memphis", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Memphis", "Memphis", "Memphis", "Memphis", "Western Kentucky", "Memphis", "Western Kentucky", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis", "Memphis"
   "3", "POINSETTIA BOWL", "BYU", "Wyoming", "8.5", "BYU", "Wyoming", "BYU", "BYU", "BYU", "BYU", "Wyoming", "BYU\ :sup:`*`", "Wyoming", "BYU", "BYU", "Wyoming", "BYU", "Wyoming", "BYU", "BYU\ :sup:`*`", "BYU", "Wyoming", "BYU", "BYU", "BYU", "BYU\ :sup:`*`", "BYU", "BYU", "BYU", "BYU\ :sup:`*`", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "Wyoming", "Wyoming", "Wyoming", "BYU", "Wyoming", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU", "Wyoming", "BYU", "BYU", "BYU", "BYU", "BYU", "BYU"
   "4", "IDAHO PATATO BOWL", "Colorado State", "Idaho", "13.5", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State\ :sup:`*`", "Idaho", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State", "Idaho", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State\ :sup:`*`", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State\ :sup:`*`", "Colorado State\ :sup:`*`", "Colorado State", "Idaho", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State", "Colorado State", "Colorado State\ :sup:`*`", "Colorado State\ :sup:`*`", "Colorado State\ :sup:`*`", "Idaho", "Idaho", "Colorado State", "Colorado State", "Colorado State\ :sup:`*`", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State", "Colorado State", "Idaho", "Colorado State", "Colorado State\ :sup:`*`", "Idaho", "Idaho", "Colorado State", "Colorado State\ :sup:`*`", "Colorado State\ :sup:`*`", "Colorado State\ :sup:`*`", "Colorado State", "Colorado State"
   "5", "BAHAMAS BOWL ", "Old Dominion", "Eastern Michigan", "3.5", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Old Dominion", "Old Dominion", "Old Dominion", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Old Dominion", "Old Dominion", "Old Dominion", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Old Dominion", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Old Dominion", "Old Dominion", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Eastern Michigan", "Old Dominion", "Old Dominion", "Old Dominion", "Eastern Michigan", "Old Dominion", "Eastern Michigan", "Old Dominion", "Eastern Michigan"
   "6", "ARMED FORCES BOWL", "Navy", "Louisiana Tech", "1.0", "Louisiana Tech", "Navy", "Louisiana Tech", "Navy", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Navy", "Navy", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Navy", "Louisiana Tech", "Navy", "Navy", "Navy", "Louisiana Tech", "Navy", "Navy", "Navy", "Louisiana Tech", "Louisiana Tech", "Navy", "Louisiana Tech", "Navy", "Navy", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Navy", "Louisiana Tech", "Navy", "Navy", "Navy", "Navy", "Navy", "Louisiana Tech", "Louisiana Tech", "Navy", "Navy", "Louisiana Tech", "Navy", "Navy", "Navy", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Navy", "Louisiana Tech", "Navy", "Navy", "Louisiana Tech", "Navy", "Navy", "Louisiana Tech"
   "7", "DOLLAR GENERAL BOWL ", "Troy", "Ohio", "3.5", "Troy", "Troy", "Troy", "Ohio", "Ohio", "Troy", "Troy", "Ohio", "Ohio", "Ohio", "Ohio", "Troy", "Troy", "Ohio", "Ohio", "Ohio", "Ohio", "Troy", "Troy", "Ohio", "Ohio", "Ohio", "Ohio", "Troy", "Troy", "Ohio", "Ohio", "Troy", "Ohio", "Ohio", "Troy", "Troy", "Troy", "Ohio", "Troy", "Ohio", "Troy", "Ohio", "Ohio", "Ohio", "Ohio", "Troy", "Ohio", "Ohio", "Ohio", "Ohio", "Troy", "Ohio", "Troy", "Troy", "Ohio", "Troy", "Troy", "Troy", "Ohio", "Ohio", "Ohio", "Ohio"
   "8", "HAWAII BOWL ", "Hawaii", "Middle Tenn State", "0.0", "Hawaii", "Hawaii", "Middle Tenn State", "Hawaii", "Hawaii", "Middle Tenn State", "Middle Tenn State", "Middle Tenn State", "Hawaii", "Hawaii", "Hawaii", "Hawaii", "Middle Tenn State", "Hawaii", "Middle Tenn State", "Hawaii", "Middle Tenn State", "Middle Tenn State", "Middle Tenn State", "Hawaii", "Hawaii", "Middle Tenn State", "Hawaii", "Hawaii", "Hawaii", "Hawaii", "Hawaii", "Hawaii", "Middle Tenn State", "Middle Tenn State", "Middle Tenn State", "Middle Tenn State", "Hawaii", "Middle Tenn State", "Hawaii", "Middle Tenn State", "Hawaii", "Hawaii", "Middle Tenn State", "Hawaii", "Hawaii", "Middle Tenn State", "Middle Tenn State", "Middle Tenn State", "Hawaii", "Hawaii", "Hawaii", "Middle Tenn State", "Hawaii", "Hawaii", "Hawaii", "Hawaii", "Middle Tenn State", "Middle Tenn State", "Hawaii", "Hawaii", "Hawaii", "Hawaii"
   "9", "ST PETERSBURG BOWL", "Mississippi St", "Miami (Ohio)", "12.5", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St\ :sup:`*`", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St\ :sup:`*`", "Miami (Ohio)", "Mississippi St\ :sup:`*`", "Mississippi St\ :sup:`*`", "Miami (Ohio)", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St", "Miami (Ohio)", "Miami (Ohio)", "Mississippi St\ :sup:`*`", "Mississippi St\ :sup:`*`", "Mississippi St\ :sup:`*`", "Miami (Ohio)", "Mississippi St", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St", "Miami (Ohio)", "Mississippi St\ :sup:`*`", "Mississippi St\ :sup:`*`", "Miami (Ohio)", "Miami (Ohio)", "Mississippi St\ :sup:`*`", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St", "Mississippi St", "Mississippi St\ :sup:`*`", "Mississippi St", "Mississippi St\ :sup:`*`", "Mississippi St"
