.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #MamaBear, #NeverBama1, 12th Man, Aaron's Team, ADTESQ, After Further Review, Amy Senders, Backroom Deals, Best Logo Wins, Biscuit's Ball, Blind Dog's Bluff, Blindhog 2017, Bumblerooski, Cjepson, ConflictofInterest, Corgidawg, Cowboy, CUTIE PIE, D-bo, Dirk Diggler, Do. Or do not., Doc, Eclipse, EM43, EVA, Fake News, Gkid7, GlamKam, Godiva, GoForBones, Gussysue, Invanka Trump, Jake and the Neverland Pirates, Katyusa, Krazy Koochies, LaDolceVida, LUCKY IN 2017, Maine Chic, O'Pooh, OSUX3 Fan, Putin's Dog, Red Five, SantaCruzBill, Spem in perpetuum, Spiker, T-Bone, Team Ellie Mae, Texas Giants, THE BEAVERS WON THE CIVIL WAR AND THAT IS ALL THAT MATTERS, The Dude, The force is strong with this one, Thetis, Troll Factory Inc, Trollmaster, Tyrone Swoopes, West Coast Bias, You are my only hope, Zena

   "1", "MIAMI BEACH BOWL", "Tulsa", "Central Michigan", "11.5", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0"
   "2", "BOCA RATON BOWL", "Western Kentucky", "Memphis", "4.5", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0"
   "3", "POINSETTIA BOWL", "BYU", "Wyoming", "8.5", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "2.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "2.0", "1.0", "0.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0"
   "4", "IDAHO PATATO BOWL", "Colorado State", "Idaho", "13.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "2.5", "2.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0", "2.5", "0.0", "0.0", "2.5", "2.5", "0.0", "0.0", "0.0", "0.0", "0.0", "0.0"
   "5", "BAHAMAS BOWL ", "Old Dominion", "Eastern Michigan", "3.5", "0.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0"
   "6", "ARMED FORCES BOWL", "Navy", "Louisiana Tech", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0", "1.0"
   "7", "DOLLAR GENERAL BOWL ", "Troy", "Ohio", "3.5", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "0.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0"
   "8", "HAWAII BOWL ", "Hawaii", "Middle Tenn State", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "1.0", "0.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "0.0", "0.0", "1.0", "0.0", "1.0", "0.0", "1.0", "1.0", "0.0", "1.0", "1.0", "0.0", "0.0", "0.0", "1.0", "1.0", "1.0", "0.0", "1.0", "1.0", "1.0", "1.0", "0.0", "0.0", "1.0", "1.0", "1.0", "1.0"
   "9", "ST PETERSBURG BOWL", "Mississippi St", "Miami (Ohio)", "12.5", "2.0", "1.0", "1.0", "2.0", "2.0", "1.0", "1.0", "2.0", "0.0", "2.0", "2.0", "0.0", "2.0", "1.0", "1.0", "1.0", "0.0", "0.0", "2.0", "2.0", "2.0", "0.0", "1.0", "2.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "1.0", "0.0", "2.0", "2.0", "0.0", "0.0", "2.0", "2.0", "1.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "2.0", "1.0", "1.0", "1.0", "2.0", "1.0", "2.0", "1.0"
