.. csv-table:: 
   :header: "ID", "Bowl Name", "Favorite", "Underdog", "Spread", #MamaBear, 4 Rackets, Adrian A, Assistant Coach Riley?, Batman, Bay City Rollers, beach lady, Bevo's Best, Blind Dog's Bluff, Blindhog2017, Bobbo, Brothers before others, Bumblerooski, Clutch City, Coog Crew, Cowboy, cutie pie, D-Bo, Duke Rules, Eclipse, Em214, Escalante, GlamKam, Go For Bones, Go For Broke, Godiva Nine!, hapagirl, I lost the password to my first bracket, Jake and the Neverland Pirates, Josh's Bracket, Julez, Juul, Katyusha, Kevin's bracket, Lightning, Luck be a lady, Lucky in 2018, Make Bowl Season Great Again, Maui Girl, MidWestWheat, Nurse Ratched, OSUX3, Pepper Bear, Pooh Bear, Putin's Dog, Rapacke's Bracket, Nerf Herder, Santa Cruz Bill, Santa's Helper, Sgt. Pepper, Sorbet, Static, Still a Beaver Believer, Superman, Swampdonkey, Texas Big Red, The Pick Doctor, The Striker, The Water and The Well, Thunder, Trojans, Tucker, UrbranLegend, Victorious Secret, War Beaver, War Eagle, Warren Mooned Me, West Coast Bias, Winning Jeff, Yoda, YOLO Pups

   "1", "New Orleans Bowl", "Troy", "North Texas", "6.5", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "North Texas", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "North Texas", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "North Texas", "Troy", "North Texas", "Troy", "Troy", "North Texas", "North Texas", "North Texas", "Troy", "North Texas", "Troy", "North Texas", "Troy", "Troy", "Troy", "Troy", "Troy", "North Texas", "Troy", "Troy", "Troy", "Troy", "North Texas", "North Texas", "Troy", "Troy", "Troy", "Troy", "North Texas", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy\ :sup:`*`", "Troy", "Troy", "Troy", "Troy", "Troy", "Troy", "North Texas", "North Texas", "Troy", "North Texas"
   "2", "Cure Bowl", "Western Kentucky", "Gerogia State", "6.0", "Western Kentucky", "Gerogia State", "Western Kentucky", "Gerogia State", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Gerogia State", "Western Kentucky", "Gerogia State", "Gerogia State", "Western Kentucky", "Gerogia State", "Western Kentucky", "Western Kentucky", "Gerogia State", "Western Kentucky", "Gerogia State", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Gerogia State", "Western Kentucky", "Western Kentucky", "Gerogia State", "Gerogia State", "Western Kentucky", "Gerogia State", "Gerogia State", "Gerogia State", "Western Kentucky", "Gerogia State", "Gerogia State", "Gerogia State", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Gerogia State", "Western Kentucky", "Gerogia State", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Gerogia State", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Gerogia State", "Western Kentucky", "Gerogia State", "Western Kentucky", "Western Kentucky", "Western Kentucky", "Gerogia State", "Western Kentucky", "Gerogia State", "Gerogia State", "Western Kentucky", "Western Kentucky", "Gerogia State", "Gerogia State", "Gerogia State"
   "3", "Las Vegas Bowl", "Oregon", "Boise State", "7.5", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Boise State", "Oregon", "Oregon", "Oregon", "Boise State", "Oregon", "Boise State", "Boise State", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Boise State", "Oregon", "Boise State", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon\ :sup:`*`", "Oregon", "Oregon", "Boise State", "Oregon", "Boise State", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon\ :sup:`*`", "Boise State\ :sup:`*`", "Oregon", "Oregon", "Boise State", "Oregon", "Oregon", "Boise State", "Boise State", "Oregon\ :sup:`*`", "Boise State", "Oregon", "Boise State", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Oregon", "Boise State", "Oregon", "Oregon"
   "4", "New Mexico Bowl", "Colorado State", "Marshall", "5.5", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Marshall", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Marshall", "Colorado State", "Colorado State", "Colorado State", "Marshall\ :sup:`*`", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Marshall", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Marshall", "Colorado State", "Colorado State", "Marshall", "Colorado State", "Marshall", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Marshall", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State", "Colorado State"
   "5", "Camellia Bowl", "Arkansas State", "Middle Tennessee State", "3.5", "Arkansas State", "Middle Tennessee State", "Middle Tennessee State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Arkansas State", "Middle Tennessee State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Middle Tennessee State", "Arkansas State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Middle Tennessee State", "Arkansas State", "Arkansas State", "Arkansas State", "Middle Tennessee State", "Middle Tennessee State", "Arkansas State", "Middle Tennessee State", "Arkansas State"
   "6", "Boca Ratan Bowl", "Florida Atlantic", "Akron", "22.5", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Akron", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Akron", "Akron", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Akron", "Florida Atlantic", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Akron", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Akron", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Akron", "Florida Atlantic\ :sup:`*`", "Florida Atlantic", "Florida Atlantic", "Florida Atlantic"
   "7", "Frisco Bowl", "Southern Methodist", "Louisiana Tech", "5.0", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Southern Methodist", "Southern Methodist\ :sup:`*`", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Southern Methodist", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist\ :sup:`*`", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Louisiana Tech", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Southern Methodist", "Louisiana Tech", "Southern Methodist", "Louisiana Tech", "Louisiana Tech", "Southern Methodist", "Louisiana Tech", "Southern Methodist", "Southern Methodist", "Southern Methodist"
   "8", "Bahamas Bowl", "Ohio", "Alabama Birmingham (UAB)", "7.5", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Alabama Birmingham (UAB)", "Alabama Birmingham (UAB)", "Ohio", "Ohio\ :sup:`*`", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Ohio\ :sup:`*`", "Ohio", "Ohio", "Ohio", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)\ :sup:`*`", "Ohio", "Ohio", "Ohio", "Ohio", "Ohio\ :sup:`*`", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Ohio", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Alabama Birmingham (UAB)", "Alabama Birmingham (UAB)", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Ohio", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Alabama Birmingham (UAB)", "Ohio", "Ohio", "Ohio", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Ohio\ :sup:`*`", "Ohio", "Ohio", "Ohio", "Alabama Birmingham (UAB)", "Alabama Birmingham (UAB)", "Ohio"
   "9", "Famous Idaho Potato Bowl", "Wyoming", "Central Michigan", "1.0", "Central Michigan", "Central Michigan", "Wyoming", "Central Michigan", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Central Michigan", "Wyoming", "Central Michigan", "Wyoming\ :sup:`*`", "Wyoming", "Central Michigan", "Central Michigan", "Wyoming", "Wyoming", "Central Michigan", "Wyoming", "Central Michigan", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Central Michigan", "Wyoming", "Wyoming", "Central Michigan", "Wyoming", "Wyoming", "Central Michigan", "Wyoming", "Wyoming", "Wyoming", "Central Michigan", "Wyoming\ :sup:`*`", "Wyoming", "Central Michigan", "Wyoming", "Central Michigan", "Wyoming", "Wyoming", "Central Michigan", "Central Michigan", "Wyoming", "Central Michigan", "Wyoming", "Wyoming\ :sup:`*`", "Wyoming", "Central Michigan", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Wyoming", "Central Michigan", "Central Michigan", "Central Michigan", "Wyoming", "Wyoming"
