#,Bowl Name,Favorite,Underdog,Spread,#MamaBear,Aggie Austin,Badgers Rock!,Barkside Ballers (Wylie & Flapjack),Bear-in-Law,Big 12 Bibby,bugabugaroo,COOKIES,Dazed & Confoosballed,Dbo,em&em,GlamKam,Kylo Bad Dog,LadyLonghorn,MamaDAWG,Manda Panda,Rando Cal Rece Ian,Sascha Picks Dogs,SEC Shipley,Sir Fluffy McFlufferson,The New Guy,WD50

1,Myrtle Beach Bowl,Georgia Southern,Ohio,3.5,Ohio,Georgia Southern,Ohio,Ohio,Georgia Southern,Georgia Southern,Ohio,Georgia Southern,Georgia Southern,Ohio,Georgia Southern,Ohio,Georgia Southern,Ohio,Georgia Southern,Georgia Southern,Ohio,Ohio,Georgia Southern,Ohio,Ohio,Georgia Southern
2,New Orleans Bowl,Jacksonville State,Louisiana Lafayette,3.0,Louisiana Lafayette,Louisiana Lafayette,Jacksonville State,Louisiana Lafayette,Jacksonville State*,Jacksonville State,Jacksonville State,Louisiana Lafayette,Jacksonville State,Louisiana Lafayette,Louisiana Lafayette,Louisiana Lafayette,Louisiana Lafayette,Jacksonville State,Jacksonville State,Louisiana Lafayette,Louisiana Lafayette,Louisiana Lafayette,Jacksonville State,Jacksonville State,Jacksonville State,Louisiana Lafayette
3,Cure Bowl,Appalachian State,Miami (OH),6.5,Appalachian State,Miami (OH),Miami (OH),Appalachian State*,Miami (OH),Miami (OH),Appalachian State,Appalachian State,Appalachian State,Miami (OH),Miami (OH),Appalachian State,Miami (OH),Miami (OH),Appalachian State,Miami (OH),Appalachian State,Miami (OH),Appalachian State,Appalachian State,Appalachian State,Appalachian State
4,New MexicoBowl,New Mexico State,Fresno State,3.5,New Mexico State,Fresno State,Fresno State,Fresno State,New Mexico State,New Mexico State,Fresno State,New Mexico State,New Mexico State,Fresno State,New Mexico State,New Mexico State,Fresno State,Fresno State,Fresno State,New Mexico State,New Mexico State,Fresno State,Fresno State,New Mexico State,New Mexico State,New Mexico State
5,LA Bowl,UCLA,Boise State,4.0,UCLA,UCLA,Boise State,UCLA,Boise State,Boise State,UCLA,Boise State,Boise State,Boise State,UCLA,UCLA,UCLA,UCLA,Boise State,UCLA,UCLA,Boise State,UCLA,Boise State,Boise State,UCLA
6,Independence Bowl,Texas Tech,California,3.0,Texas Tech,Texas Tech,Texas Tech,California,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,California,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech,California,Texas Tech,California,Texas Tech,California,Texas Tech,Texas Tech
7,Famous Toastery Bowl,Old Dominion,Western Kentucky,2.5,Old Dominion,Old Dominion,Old Dominion,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Old Dominion,Western Kentucky,Western Kentucky,Western Kentucky,Old Dominion,Western Kentucky,Old Dominion,Western Kentucky,Western Kentucky,Western Kentucky,Old Dominion,Western Kentucky,Western Kentucky,Old Dominion
8,Frisco Bowl,UTSA,Marshall,9.5,UTSA,UTSA,UTSA,Marshall,UTSA,UTSA,UTSA,UTSA,UTSA,Marshall,UTSA,UTSA,Marshall,UTSA,UTSA,UTSA,UTSA,Marshall,UTSA,UTSA,UTSA,UTSA
9,Boca Raton Bowl,Syracuse,South Florida,4.5,South Florida,Syracuse*,Syracuse,South Florida,Syracuse,Syracuse,Syracuse,South Florida,Syracuse,South Florida,Syracuse,Syracuse,Syracuse,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida,South Florida,Syracuse
10,Gasparilla Bowl,UCF,Georgia Tech,4.5,UCF,Georgia Tech,UCF,Georgia Tech,Georgia Tech,UCF,UCF,UCF,UCF,Georgia Tech,Georgia Tech,Georgia Tech,Georgia Tech,UCF,UCF,UCF,UCF,Georgia Tech,Georgia Tech,UCF,Georgia Tech,UCF
11,Camellia Bowl,Arkansas State,Northern Illinois,1.5,Arkansas State,Arkansas State,Arkansas State,Northern Illinois,Northern Illinois,Northern Illinois,Northern Illinois,Arkansas State,Arkansas State,Northern Illinois,Arkansas State,Arkansas State,Arkansas State,Arkansas State,Northern Illinois,Arkansas State,Arkansas State,Northern Illinois,Northern Illinois,Northern Illinois,Arkansas State,Northern Illinois
12,Birmingham Bowl,Troy,Duke,7.0,Troy,Duke,Troy,Duke,Troy,Troy,Troy,Troy,Troy,Duke,Troy,Troy,Duke,Troy,Troy,Troy,Duke,Duke,Duke,Troy,Duke*,Troy
13,Armed Forces Bowl,James Madison,Air Force,2.5,Air Force,James Madison,James Madison,Air Force,James Madison,James Madison,Air Force,Air Force,James Madison,Air Force,James Madison,James Madison,Air Force,James Madison,Air Force,James Madison,James Madison,Air Force,James Madison,James Madison,James Madison,James Madison
14,IdahoPotato Bowl,Georgia State,Utah State,2.5,Utah State,Georgia State,Georgia State,Utah State,Utah State,Utah State,Georgia State,Utah State,Georgia State,Utah State,Georgia State,Utah State,Georgia State,Georgia State,Georgia State,Utah State,Utah State,Utah State,Utah State,Utah State,Utah State,Georgia State
15,68 Ventures Bowl,South Alabama,Eastern Michigan,15.5,South Alabama*,South Alabama,South Alabama*,Eastern Michigan,South Alabama,South Alabama,South Alabama*,South Alabama,South Alabama,Eastern Michigan,Eastern Michigan,South Alabama,Eastern Michigan,South Alabama*,South Alabama,South Alabama,South Alabama,Eastern Michigan,South Alabama,South Alabama,South Alabama,South Alabama
