Last updated:  2023-12-30 10:30:13
Last bowl scored:  Cotton Bowl (Ohio State vs. Missouri)

1,Barkside Ballers (Wylie & Flapjack),33.5
2,Dbo,28.5
3,bugabugaroo,28.0
4,Kylo Bad Dog,27.5
5,Sascha Picks Dogs,25.5
6,MamaDAWG,23.75
7,SEC Shipley,23.25
8,#MamaBear,22.0
8,The New Guy,22.0
10,LadyLonghorn,21.75
11,Manda Panda,21.5
12,GlamKam,19.75
13,em&em,19.5
14,Bear-in-Law,19.25
15,Rando Cal Rece Ian,18.5
16,Badgers Rock!,18.25
17,COOKIES,16.25
18,Aggie Austin,15.75
18,Big 12 Bibby,15.75
20,Sir Fluffy McFlufferson,15.0
21,WD50,14.25
22,Dazed & Confoosballed,11.0
