Last updated:  2025-12-27 15:04:58
Last bowl scored:  PINSTRIPE BOWL (Clemson vs. Penn State)

1,Battered Austin Syndrome,19.0
2,Vibe-free since '73,18.75
2,We Pay Players,18.75
4,Sherrone Moore's Bad Day,18.25
4,Bearly Watching,18.25
6,Eclipse,17.25
7,Dazed and Confoosballed,16.75
7,Mama Dawg,16.75
9,Down,16.5
10,Upside,15.75
11,Sierra LeCat Dowdle,15.25
12,#MamaBear,15.0
12,Just Call Me Dr.,15.0
14,First Round SIL,14.75
15,BlueOrRed,14.5
16,Barkside Ballers,14.25
17,Wisconsin shoud've been here,13.75
18,Sascha Picks Dogs,13.25
18,NoNND-Bo 2,13.25
20,bugaroo,13.0
21,Not So New Guy,12.75
22,Arandas legacy Year,12.5
23,Call Me An Optimist,12.25
24,Game of Throws,12.0
25,NoNND-Bo 1,11.75
26,Momma Longhorn,11.25
27,The New Mendoza Line,8.0
