Last updated:  2026-01-11 17:57:13
Last bowl scored:  CFP Semifinal (Peach) (Oregon vs. Indiana)

1,Down,17.5
2,#MamaBear,17.0
3,Vibe-free since '73,16.5
3,Sherrone Moore's Bad Day,16.5
5,First Round SIL,16.0
6,Battered Austin Syndrome,14.5
7,Arandas legacy Year,14.0
7,Eclipse,14.0
7,Not So New Guy,14.0
7,Upside,14.0
11,BlueOrRed,12.0
12,bugaroo,10.0
12,Just Call Me Dr.,10.0
14,Barkside Ballers,9.5
14,Sascha Picks Dogs,9.5
14,NoNND-Bo 2,9.5
14,Wisconsin shoud've been here,9.5
18,Dazed and Confoosballed,9.0
19,Sierra LeCat Dowdle,8.5
19,Mama Dawg,8.5
19,Bearly Watching,8.5
19,Call Me An Optimist,8.5
23,We Pay Players,8.0
24,NoNND-Bo 1,7.0
24,Game of Throws,7.0
26,Momma Longhorn,6.0
27,The New Mendoza Line,3.0
