Last updated:  2025-12-27 15:04:56
Last bowl scored:  PINSTRIPE BOWL (Clemson vs. Penn State)

1,Upside,11.75
2,Dazed and Confoosballed,10.75
2,Sherrone Moore's Bad Day,10.75
2,We Pay Players,10.75
5,Eclipse,10.25
6,Sierra LeCat Dowdle,9.75
6,Bearly Watching,9.75
8,Vibe-free since '73,9.25
9,First Round SIL,8.75
9,Not So New Guy,8.75
11,Arandas legacy Year,8.5
11,BlueOrRed,8.5
13,Mama Dawg,8.25
14,#MamaBear,8.0
14,Just Call Me Dr.,8.0
14,Game of Throws,8.0
17,Barkside Ballers,7.75
17,NoNND-Bo 1,7.75
19,Battered Austin Syndrome,7.5
20,Wisconsin shoud've been here,7.25
21,Sascha Picks Dogs,6.75
21,NoNND-Bo 2,6.75
21,Call Me An Optimist,6.75
24,bugaroo,6.0
24,Down,6.0
26,Momma Longhorn,5.25
27,The New Mendoza Line,5.0
