#,Bowl Name,Favorite,Underdog,Spread,#blamejameis,#Mama Bear,A Real Quandre,Admiral Akbar,Aggie Fan,Always Lucky,AshSenders,Bears,Beaver Believer?,Blaster,Blindhog2015,Bobcats,Brock,C+C Music Factory,Casa S and S,Coin Toss,Colonel Kurtz,Colt45,Cowboy,Cutie Pie,Dallas Cowboys,D-Bo,Deakins,Detroit Lions,Eclipse,Endless Shrimp,Everest,EVITA,Father Knowsw Best,Gigi-Dawg,Griswald,Gusstsue,Hamburger,Hapa Girl,HarbaughComeHome,Hilltopers,Hula Gal,Iron Man,Islandman 3,Jake & The Neverland Pirates,Jewels on Fire,Just4Fun,KZ,Lauren.e.f,Mango Sorbet,Mimi,Mr. Gamblerer,Mrs. Gamblerer,Oceans 11,Oh Pooh,Optimus Prime,OSUKristi,Panda Bear,Perfect Spiral,poodlypoodlehair,Positive Vibrations,Repo Man,Santa Cruz Bill ,Seahawk 12 Fan,SoCalGal,SuperGrammyMops,Supplemental Income,TDub10%,Teach Rachel,Team Underdog,Tequila Mockingbird,The Interview (Sony Pictures),The Spiderman,The Winning Formula,Troll Doctor,Tyler Rose,Virgil Cain 1,Virgil Cain 2,War Beaver,War Eagle,West Coast Bias,Yoda

1,BOCA RATON BOWL,Marshall,Northern Illinois,10.0,Marshall,Marshall,Marshall,Marshall,Marshall*,Marshall*,Marshall,Northern Illinois,Marshall,Marshall,Northern Illinois,Marshall*,Northern Illinois,Marshall,Marshall,Marshall*,Marshall,Marshall*,Northern Illinois,Northern Illinois,Northern Illinois,Marshall,Marshall*,Marshall,Marshall*,Northern Illinois,Marshall,Marshall,Marshall*,Marshall,Marshall,Marshall,Marshall,Marshall,Marshall,Marshall,Northern Illinois,Northern Illinois,Marshall,Marshall,Marshall,Marshall*,Marshall*,Marshall,Marshall,Marshall,Marshall*,Northern Illinois*,Marshall,Northern Illinois,Marshall,Northern Illinois,Marshall,Marshall,Marshall,Marshall,Marshall,Marshall,Marshall*,Marshall*,Marshall*,Marshall*,Marshall,Marshall,Marshall*,Marshall,Marshall*,Marshall,Marshall,Marshall,Marshall*,Marshall,Marshall,Marshall,Northern Illinois,Marshall,Northern Illinois
2,POINSETTIA BOWL,San Diego State,Navy,2.5,Navy,Navy,Navy,San Diego State,Navy,San Diego State,Navy,San Diego State,San Diego State,San Diego State,Navy,Navy,San Diego State,San Diego State,San Diego State,Navy,Navy,San Diego State,San Diego State,San Diego State,Navy,San Diego State,Navy,San Diego State,San Diego State,San Diego State,Navy,San Diego State*,San Diego State,Navy,San Diego State,Navy,Navy,San Diego State,Navy,San Diego State,San Diego State,Navy,San Diego State,San Diego State,San Diego State*,Navy,San Diego State,San Diego State,San Diego State,San Diego State,Navy,San Diego State,San Diego State,Navy,Navy,Navy,Navy,Navy,San Diego State,San Diego State,San Diego State,Navy,San Diego State,San Diego State,San Diego State,Navy,San Diego State,San Diego State,Navy,San Diego State,San Diego State,Navy,San Diego State,San Diego State,Navy,Navy,San Diego State,San Diego State,San Diego State,San Diego State,Navy
3,BAHAMAS BOWL,Western Kentucky,Central Michigan,3.0,Western Kentucky,Western Kentucky,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Western Kentucky,Central Michigan,Western Kentucky,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Western Kentucky,Central Michigan,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Central Michigan,Western Kentucky,Central Michigan,Central Michigan,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky*,Western Kentucky,Western Kentucky,Central Michigan,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Central Michigan,Western Kentucky,Central Michigan,Western Kentucky,Central Michigan,Central Michigan,Western Kentucky,Western Kentucky,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Central Michigan,Western Kentucky,Central Michigan,Central Michigan,Western Kentucky,Central Michigan,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Western Kentucky,Central Michigan,Central Michigan,Western Kentucky,Western Kentucky,Central Michigan,Central Michigan,Central Michigan
4,SHERATON HAWAII BOWL,Rice,Fresno State,2.5,Fresno State,Rice,Fresno State,Rice,Rice,Rice,Rice,Rice,Rice,Fresno State,Rice,Rice,Rice,Fresno State,Fresno State,Fresno State,Rice,Rice,Fresno State,Fresno State,Rice,Rice,Rice,Rice*,Rice,Fresno State,Fresno State,Rice,Rice,Rice,Fresno State,Rice,Rice,Rice,Fresno State,Fresno State,Fresno State,Rice,Fresno State,Fresno State,Rice,Rice,Fresno State,Rice,Rice,Rice,Fresno State,Rice,Fresno State,Fresno State*,Rice,Fresno State,Rice,Rice,Rice,Fresno State,Rice,Fresno State,Rice,Fresno State,Rice,Rice,Rice,Rice,Rice,Rice,Fresno State,Rice,Fresno State,Fresno State,Rice,Fresno State,Fresno State,Fresno State,Rice,Rice,Fresno State
5,HEART OF DALLAS,Louisiana Tech,Illinois,6.0,Illinois,Illinois,Louisiana Tech,Illinois,Illinois,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Illinois,Illinois,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Illinois,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Illinois,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech*,Illinois,Louisiana Tech,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech,Illinois,Illinois,Louisiana Tech,Louisiana Tech,Louisiana Tech,Louisiana Tech
6,QUICK LANE BOWL,North Carolina,Rutgers,3.0,North Carolina,North Carolina,North Carolina,North Carolina,North Carolina,Rutgers,Rutgers,North Carolina,North Carolina,North Carolina,Rutgers,Rutgers,North Carolina,North Carolina,North Carolina,North Carolina,Rutgers,North Carolina,Rutgers,North Carolina,North Carolina,Rutgers,North Carolina,North Carolina,North Carolina,Rutgers,North Carolina,Rutgers,North Carolina,North Carolina,North Carolina,North Carolina,Rutgers,North Carolina,Rutgers,North Carolina,Rutgers,North Carolina,North Carolina,Rutgers,North Carolina,Rutgers,North Carolina,Rutgers,North Carolina,North Carolina,Rutgers,North Carolina,North Carolina,Rutgers,North Carolina,North Carolina,North Carolina,Rutgers,Rutgers,North Carolina,Rutgers,Rutgers,Rutgers,Rutgers,Rutgers,North Carolina,North Carolina,Rutgers,Rutgers,Rutgers,Rutgers,North Carolina,Rutgers,North Carolina,North Carolina,Rutgers,North Carolina,North Carolina,Rutgers,Rutgers,North Carolina
7,ST PETERSBURG BOWL,UCF,NC State,2.0,UCF,NC State,UCF,UCF,UCF,UCF,UCF,UCF,UCF,NC State,UCF,UCF,NC State,NC State,NC State,UCF,UCF,UCF,UCF,UCF,UCF,UCF,UCF,NC State,NC State,UCF,UCF,NC State,UCF,NC State,UCF,UCF,UCF,UCF,UCF,NC State,UCF,NC State,NC State,UCF,UCF,NC State,UCF,NC State,UCF,NC State,UCF,NC State,UCF,NC State,NC State,UCF,NC State,NC State,NC State,UCF,NC State,UCF,NC State,UCF,UCF,UCF,UCF,UCF,UCF,NC State,UCF,UCF,UCF,UCF,NC State,NC State,NC State,UCF,UCF,UCF,NC State
8,MILITARY BOWL,Cincinnati,Virginia Tech,3.0,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Virginia Tech,Cincinnati,Virginia Tech,Cincinnati,Virginia Tech,Virginia Tech,Virginia Tech,Cincinnati,Virginia Tech,Virginia Tech,Cincinnati,Cincinnati,Cincinnati,Virginia Tech,Virginia Tech,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Virginia Tech,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Cincinnati*,Virginia Tech,Virginia Tech,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Virginia Tech,Virginia Tech,Cincinnati,Virginia Tech,Virginia Tech,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Virginia Tech,Virginia Tech,Cincinnati,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Virginia Tech,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech,Cincinnati,Cincinnati,Virginia Tech
9,SUN BOWL,Arizona State,Duke,7.0,Duke,Arizona State,Arizona State,Arizona State,Arizona State,Arizona State,Arizona State,Arizona State,Duke,Arizona State,Arizona State*,Duke,Arizona State,Arizona State*,Arizona State,Arizona State,Duke,Arizona State,Arizona State,Arizona State,Arizona State*,Arizona State,Arizona State,Duke,Duke,Arizona State*,Arizona State,Duke,Arizona State,Duke,Arizona State,Duke,Arizona State,Duke,Arizona State,Arizona State,Arizona State*,Arizona State*,Arizona State,Arizona State,Arizona State,Arizona State,Duke,Arizona State,Arizona State*,Arizona State,Arizona State,Duke,Arizona State,Duke,Duke,Arizona State*,Arizona State,Arizona State,Arizona State,Duke,Arizona State*,Arizona State*,Arizona State,Arizona State,Arizona State,Duke,Arizona State,Duke,Duke,Duke,Arizona State,Arizona State,Arizona State,Arizona State,Duke,Duke,Arizona State,Arizona State,Arizona State,Arizona State*,Duke
10,INDEPENDENCE BOWL,Miami,South Carolina,3.5,Miami,Miami,Miami,South Carolina,Miami,Miami,Miami,Miami,South Carolina,Miami,South Carolina,South Carolina,South Carolina,Miami,South Carolina,Miami,Miami,Miami,South Carolina,Miami,Miami,Miami,Miami,Miami,South Carolina,South Carolina,Miami,Miami,Miami,South Carolina,South Carolina,Miami,Miami,South Carolina,Miami,Miami,Miami,South Carolina,Miami,Miami,South Carolina,Miami,Miami,Miami,Miami,South Carolina,Miami,South Carolina,Miami,South Carolina,Miami,Miami,Miami,Miami,Miami,Miami,South Carolina,Miami,Miami,South Carolina,Miami,Miami,Miami,Miami*,South Carolina,South Carolina,South Carolina,Miami,Miami,South Carolina,Miami,South Carolina,South Carolina,Miami,South Carolina,South Carolina,Miami
