Last updated:  2015-12-29 10:16:04
Last bowl scored:  GODADDY.COM BOWL (Toledo vs. Arkasas State)

1,Hapa Girl,35.75
2,Oh Pooh,32.5
2,Iron Man,32.5
4,Everest,32.25
5,Blindhog2015,31.75
6,Mr. Gamblerer,30.25
6,Hamburger,30.25
8,Perfect Spiral,28.75
9,Father Knowsw Best,28.5
9,Aggie Fan,28.5
11,Colonel Kurtz,28.0
12,OSUKristi,27.75
13,Optimus Prime,27.25
13,Just4Fun,27.25
13,HarbaughComeHome,27.25
16,Teach Rachel,26.75
16,Hilltopers,26.75
18,Santa Cruz Bill ,26.5
19,EVITA,26.0
19,Detroit Lions,26.0
19,Brock,26.0
22,Blaster,25.75
23,Islandman 3,25.5
24,Lauren.e.f,25.25
25,Team Underdog,25.0
26,West Coast Bias,24.75
26,Panda Bear,24.75
26,AshSenders,24.75
29,Jake & The Neverland Pirates,24.5
30,Jewels on Fire,24.0
31,Yoda,23.75
31,Troll Doctor,23.75
31,TDub10%,23.75
31,Oceans 11,23.75
31,Deakins,23.75
31,D-Bo,23.75
31,Casa S and S,23.75
38,War Beaver,23.5
38,Tyler Rose,23.5
38,The Interview (Sony Pictures),23.5
38,Tequila Mockingbird,23.5
38,Hula Gal,23.5
43,Supplemental Income,23.0
43,SoCalGal,23.0
43,Seahawk 12 Fan,23.0
43,Gusstsue,23.0
43,Eclipse,23.0
43,A Real Quandre,23.0
49,Virgil Cain 2,22.75
49,Colt45,22.75
49,C+C Music Factory,22.75
52,SuperGrammyMops,22.5
52,Endless Shrimp,22.5
54,Griswald,22.25
55,Positive Vibrations,22.0
55,poodlypoodlehair,22.0
55,Bobcats,22.0
55,Beaver Believer?,22.0
59,Coin Toss,21.75
59,#Mama Bear,21.75
61,Cutie Pie,21.5
62,Mimi,21.25
62,Gigi-Dawg,21.25
64,KZ,21.0
64,Admiral Akbar,21.0
66,Cowboy,20.5
67,War Eagle,20.0
68,Mrs. Gamblerer,19.25
69,Dallas Cowboys,19.0
70,Always Lucky,18.25
71,The Winning Formula,18.0
72,The Spiderman,17.75
73,Virgil Cain 1,17.25
74,#blamejameis,16.25
75,Mango Sorbet,16.0
76,Repo Man,15.75
77,Bears,12.75
