Observed and Forecast Stages for (ROST2)

Observed Data:
|Date(CDT)|	|Stage|	|--Flow-|
08/30 16:16	52.51ft	114kcfs
08/30 16:01	52.53ft	115kcfs
08/30 16:00	52.53ft	115kcfs
08/30 15:45	52.51ft	114kcfs
08/30 15:31	52.51ft	114kcfs
08/30 15:30	52.49ft	113kcfs
08/30 15:15	52.50ft	114kcfs
08/30 15:01	52.50ft	114kcfs
08/30 15:00	52.54ft	116kcfs
08/30 14:47	52.54ft	116kcfs
08/30 14:45	52.53ft	115kcfs
08/30 14:31	52.53ft	115kcfs
08/30 14:30	52.52ft	115kcfs
08/30 14:16	52.52ft	115kcfs
08/30 14:15	52.53ft	115kcfs
08/30 14:01	52.53ft	115kcfs
08/30 14:00	52.54ft	116kcfs
08/30 13:46	52.54ft	116kcfs
08/30 13:45	52.54ft	116kcfs
08/30 13:30	52.53ft	115kcfs
08/30 13:16	52.53ft	115kcfs
08/30 13:15	52.54ft	116kcfs
08/30 13:01	52.54ft	116kcfs
08/30 13:00	52.54ft	116kcfs
08/30 12:45	52.55ft	116kcfs
08/30 12:31	52.55ft	116kcfs
08/30 12:30	52.52ft	115kcfs
08/30 12:16	52.52ft	115kcfs
08/30 12:15	52.56ft	117kcfs
08/30 12:00	52.56ft	117kcfs
08/30 11:45	52.56ft	117kcfs
08/30 11:31	52.56ft	117kcfs
08/30 11:30	52.55ft	116kcfs
08/30 11:16	52.55ft	116kcfs
08/30 11:15	52.55ft	116kcfs
08/30 11:01	52.55ft	116kcfs
08/30 11:00	52.54ft	116kcfs
08/30 10:45	52.54ft	116kcfs
08/30 10:30	52.55ft	116kcfs
08/30 10:15	52.53ft	115kcfs
08/30 10:01	52.53ft	115kcfs
08/30 10:00	52.55ft	116kcfs
08/30 09:45	52.56ft	117kcfs
08/30 09:31	52.56ft	117kcfs
08/30 09:30	52.57ft	118kcfs
08/30 09:16	52.57ft	118kcfs
08/30 09:15	52.56ft	117kcfs
08/30 09:01	52.56ft	117kcfs
08/30 09:00	52.58ft	118kcfs
08/30 08:46	52.58ft	118kcfs
08/30 08:45	52.57ft	118kcfs
08/30 08:30	52.57ft	118kcfs
08/30 08:16	52.57ft	118kcfs
08/30 08:15	52.56ft	117kcfs
08/30 08:00	52.58ft	118kcfs
08/30 07:46	52.58ft	118kcfs
08/30 07:45	52.58ft	118kcfs
08/30 07:30	52.59ft	119kcfs
08/30 07:16	52.59ft	119kcfs
08/30 07:15	52.58ft	118kcfs
08/30 07:01	52.58ft	118kcfs
08/30 07:00	52.56ft	117kcfs
08/30 06:46	52.56ft	117kcfs
08/30 06:45	52.58ft	118kcfs
08/30 06:31	52.58ft	118kcfs
08/30 06:30	52.59ft	119kcfs
08/30 06:15	52.61ft	120kcfs
08/30 06:01	52.61ft	120kcfs
08/30 06:00	52.58ft	118kcfs
08/30 05:46	52.58ft	118kcfs
08/30 05:45	52.61ft	120kcfs
08/30 05:31	52.61ft	120kcfs
08/30 05:30	52.62ft	120kcfs
08/30 05:16	52.62ft	120kcfs
08/30 05:15	52.59ft	119kcfs
08/30 05:00	52.59ft	119kcfs
08/30 04:45	52.61ft	120kcfs
08/30 04:31	52.61ft	120kcfs
08/30 04:30	52.57ft	118kcfs
08/30 04:16	52.57ft	118kcfs
08/30 04:15	52.59ft	119kcfs
08/30 04:01	52.59ft	119kcfs
08/30 04:00	52.60ft	119kcfs
08/30 03:46	52.60ft	119kcfs
08/30 03:45	52.61ft	120kcfs
08/30 03:31	52.61ft	120kcfs
08/30 03:30	52.61ft	120kcfs
08/30 03:16	52.61ft	120kcfs
08/30 03:15	52.62ft	120kcfs
08/30 03:01	52.62ft	120kcfs
08/30 03:00	52.63ft	121kcfs
08/30 02:46	52.63ft	121kcfs
08/30 02:45	52.62ft	120kcfs
08/30 02:30	52.64ft	121kcfs
08/30 02:16	52.64ft	121kcfs
08/30 02:15	52.63ft	121kcfs
08/30 02:01	52.63ft	121kcfs
08/30 02:00	52.64ft	121kcfs
08/30 01:45	52.63ft	121kcfs
08/30 01:30	52.63ft	121kcfs
08/30 01:16	52.63ft	121kcfs
08/30 01:15	52.62ft	120kcfs
08/30 01:00	52.65ft	122kcfs
08/30 00:45	52.64ft	121kcfs
08/30 00:31	52.64ft	121kcfs
08/30 00:30	52.65ft	122kcfs
08/30 00:15	52.65ft	122kcfs
08/30 00:01	52.65ft	122kcfs
08/30 00:00	52.63ft	121kcfs
08/29 23:45	52.65ft	122kcfs
08/29 23:30	52.65ft	122kcfs
08/29 23:16	52.65ft	122kcfs
08/29 23:15	52.65ft	122kcfs
08/29 23:01	52.65ft	122kcfs
08/29 23:00	52.64ft	121kcfs
08/29 22:46	52.64ft	121kcfs
08/29 22:45	52.64ft	121kcfs
08/29 22:31	52.64ft	121kcfs
08/29 22:30	52.66ft	122kcfs
08/29 22:15	52.64ft	121kcfs
08/29 22:01	52.64ft	121kcfs
08/29 22:00	52.64ft	121kcfs
08/29 21:46	52.64ft	121kcfs
08/29 21:45	52.65ft	122kcfs
08/29 21:31	52.65ft	122kcfs
08/29 21:30	52.66ft	122kcfs
08/29 21:16	52.66ft	122kcfs
08/29 21:15	52.66ft	122kcfs
08/29 21:00	52.66ft	122kcfs
08/29 20:45	52.66ft	122kcfs
08/29 20:31	52.66ft	122kcfs
08/29 20:30	52.60ft	119kcfs
08/29 20:16	52.60ft	119kcfs
08/29 20:15	52.65ft	122kcfs
08/29 20:01	52.65ft	122kcfs
08/29 20:00	52.66ft	122kcfs
08/29 19:46	52.66ft	122kcfs
08/29 19:45	52.66ft	122kcfs
08/29 19:31	52.66ft	122kcfs
08/29 19:30	52.64ft	121kcfs
08/29 19:16	52.64ft	121kcfs
08/29 19:15	52.67ft	123kcfs
08/29 19:01	52.67ft	123kcfs
08/29 19:00	52.67ft	123kcfs
08/29 18:46	52.67ft	123kcfs
08/29 18:45	52.65ft	122kcfs
08/29 18:31	52.65ft	122kcfs
08/29 18:30	52.66ft	122kcfs
08/29 18:15	52.64ft	121kcfs
08/29 18:01	52.64ft	121kcfs
08/29 18:00	52.64ft	121kcfs
08/29 17:45	52.64ft	121kcfs
08/29 17:31	52.64ft	121kcfs
08/29 17:30	52.67ft	123kcfs
08/29 17:16	52.67ft	123kcfs
08/29 17:15	52.63ft	121kcfs
