Observed and Forecast Stages for (ROST2)

Observed Data:
|Date(CDT)|	|Stage|	|--Flow-|
08/27 10:00	37.80ft	40.5kcfs
08/27 09:45	37.49ft	40kcfs
08/27 09:30	37.22ft	39.6kcfs
08/27 09:15	36.96ft	39.1kcfs
08/27 09:00	36.75ft	38.8kcfs
08/27 08:45	36.51ft	38.4kcfs
08/27 08:30	36.29ft	38.1kcfs
08/27 08:15	36.06ft	37.7kcfs
08/27 08:00	35.84ft	37.4kcfs
08/27 07:45	35.61ft	37kcfs
08/27 07:30	35.37ft	36.6kcfs
08/27 07:15	35.13ft	36.2kcfs
08/27 07:00	34.87ft	35.8kcfs
08/27 06:45	34.66ft	35.5kcfs
08/27 06:30	34.42ft	35.1kcfs
08/27 06:15	34.15ft	34.7kcfs
08/27 06:00	33.97ft	34.4kcfs
08/27 05:45	33.70ft	34kcfs
08/27 05:30	33.58ft	33.8kcfs
08/27 05:15	33.40ft	33.6kcfs
08/27 05:00	33.25ft	33.3kcfs
08/27 04:45	33.07ft	33.1kcfs
08/27 04:30	32.88ft	32.8kcfs
08/27 04:15	32.66ft	32.4kcfs
08/27 04:00	32.46ft	32.1kcfs
08/27 03:45	32.27ft	31.9kcfs
08/27 03:30	32.06ft	31.5kcfs
08/27 03:15	31.85ft	31.2kcfs
08/27 03:00	31.64ft	30.9kcfs
08/27 02:45	31.42ft	30.6kcfs
08/27 02:30	31.22ft	30.3kcfs
08/27 02:15	30.97ft	29.9kcfs
08/27 02:00	30.76ft	29.6kcfs
08/27 01:45	30.53ft	29.3kcfs
08/27 01:30	30.30ft	28.8kcfs
08/27 01:15	30.06ft	28.4kcfs
08/27 01:00	29.84ft	28.1kcfs
08/27 00:45	29.58ft	27.7kcfs
08/27 00:30	29.35ft	27.4kcfs
08/27 00:15	29.12ft	27.1kcfs
08/27 00:00	28.92ft	26.8kcfs
08/26 23:45	28.71ft	26.5kcfs
08/26 23:30	28.54ft	26.2kcfs
08/26 23:15	28.36ft	26kcfs
08/26 23:00	28.19ft	25.7kcfs
08/26 22:45	28.02ft	25.5kcfs
08/26 22:30	27.89ft	25.3kcfs
08/26 22:15	27.75ft	25.1kcfs
08/26 22:00	27.66ft	25kcfs
08/26 21:45	27.53ft	24.8kcfs
08/26 21:30	27.43ft	24.6kcfs
08/26 21:15	27.33ft	24.5kcfs
08/26 21:00	27.24ft	24.4kcfs
08/26 20:45	27.15ft	24.3kcfs
08/26 20:30	27.06ft	24.1kcfs
08/26 20:15	26.98ft	24kcfs
08/26 20:00	26.90ft	23.9kcfs
08/26 19:45	26.77ft	23.7kcfs
08/26 19:30	26.73ft	23.7kcfs
08/26 19:15	26.67ft	23.6kcfs
08/26 19:00	26.65ft	23.6kcfs
08/26 18:46	26.65ft	23.6kcfs
08/26 18:45	26.60ft	23.5kcfs
08/26 18:30	26.57ft	23.4kcfs
08/26 18:15	26.52ft	23.4kcfs
08/26 18:00	26.47ft	23.3kcfs
08/26 17:45	26.43ft	23.3kcfs
08/26 17:30	26.38ft	23.2kcfs
08/26 17:15	26.29ft	23.1kcfs
08/26 17:00	26.23ft	23kcfs
08/26 16:45	26.18ft	22.9kcfs
08/26 16:30	26.09ft	22.8kcfs
08/26 16:15	26.00ft	22.7kcfs
08/26 16:00	25.93ft	22.6kcfs
08/26 15:45	25.84ft	22.4kcfs
08/26 15:30	25.75ft	22.3kcfs
08/26 15:15	25.63ft	22.2kcfs
08/26 15:00	25.51ft	22kcfs
08/26 14:45	25.40ft	21.8kcfs
08/26 14:30	25.26ft	21.7kcfs
08/26 14:15	25.13ft	21.5kcfs
08/26 14:00	24.96ft	21.3kcfs
08/26 13:45	24.80ft	21kcfs
08/26 13:30	24.62ft	20.8kcfs
08/26 13:15	24.46ft	20.6kcfs
08/26 13:00	24.22ft	20.3kcfs
08/26 12:45	24.02ft	20kcfs
08/26 12:30	23.81ft	19.7kcfs
08/26 12:15	23.60ft	19.5kcfs
08/26 12:00	23.35ft	19.2kcfs
08/26 11:45	23.08ft	18.8kcfs
08/26 11:30	22.79ft	18.4kcfs
08/26 11:15	22.52ft	18.1kcfs
08/26 11:00	22.27ft	17.8kcfs
08/26 10:45	21.94ft	17.4kcfs
08/26 10:30	21.62ft	17kcfs
08/26 10:15	21.31ft	16.6kcfs
08/26 10:00	20.99ft	16.2kcfs
08/26 09:45	20.62ft	15.8kcfs
08/26 09:30	20.24ft	15.3kcfs
08/26 09:15	19.89ft	14.9kcfs
08/26 09:00	19.49ft	14.4kcfs
08/26 08:45	19.09ft	14kcfs
08/26 08:30	18.73ft	13.5kcfs
08/26 08:15	18.29ft	13kcfs
08/26 08:00	17.89ft	12.5kcfs
08/26 07:45	17.52ft	12.1kcfs
08/26 07:30	17.12ft	11.6kcfs
08/26 07:15	16.70ft	11.2kcfs
08/26 07:00	16.33ft	10.8kcfs
08/26 06:45	15.90ft	10.3kcfs
08/26 06:30	15.55ft	9.91kcfs
08/26 06:15	15.16ft	9.5kcfs
08/26 06:00	14.82ft	9.14kcfs
08/26 05:45	14.47ft	8.78kcfs
08/26 05:30	14.09ft	8.4kcfs
08/26 05:15	13.87ft	8.18kcfs
08/26 05:00	13.56ft	7.88kcfs
08/26 04:45	13.40ft	7.72kcfs
08/26 04:30	13.20ft	7.51kcfs
08/26 04:15	13.03ft	7.34kcfs
08/26 04:00	12.83ft	7.14kcfs
08/26 03:45	12.68ft	6.99kcfs
08/26 03:30	12.49ft	6.8kcfs
08/26 03:15	12.33ft	6.65kcfs
08/26 03:00	12.18ft	6.5kcfs
08/26 02:45	12.07ft	6.4kcfs
08/26 02:30	11.97ft	6.3kcfs
08/26 02:15	11.75ft	6.1kcfs
08/26 02:00	11.65ft	6.01kcfs
08/26 01:45	11.53ft	5.9kcfs
08/26 01:30	11.35ft	5.73kcfs
08/26 01:15	11.19ft	5.59kcfs
08/26 01:00	10.98ft	5.4kcfs
08/26 00:45	10.79ft	5.24kcfs
08/26 00:30	10.55ft	5.04kcfs
08/26 00:15	10.36ft	4.86kcfs
08/26 00:00	10.14ft	4.64kcfs
08/25 23:45	9.87ft	4.37kcfs
08/25 23:30	9.71ft	4.22kcfs
08/25 23:15	9.44ft	3.97kcfs
08/25 23:00	9.23ft	3.77kcfs
08/25 22:45	9.03ft	3.6kcfs
08/25 22:30	8.83ft	3.42kcfs
08/25 22:15	8.66ft	3.28kcfs
08/25 22:00	8.46ft	3.11kcfs
08/25 21:45	8.39ft	3.06kcfs
08/25 21:30	8.24ft	2.94kcfs
08/25 21:15	8.15ft	2.87kcfs
08/25 21:00	8.04ft	2.78kcfs
08/25 20:45	7.88ft	2.69kcfs
08/25 20:30	7.72ft	2.59kcfs
08/25 20:15	7.63ft	2.52kcfs
08/25 20:00	7.52ft	2.44kcfs
08/25 19:45	7.37ft	2.32kcfs
