Observed and Forecast Stages for (WCBT2)

Observed Data:
|Date(CDT)|	|Stage|	|--Flow-|
08/26 12:30	8.55ft	5.65kcfs
08/26 12:15	8.46ft	5.51kcfs
08/26 12:00	8.34ft	5.32kcfs
08/26 11:45	8.18ft	5.08kcfs
08/26 11:30	8.07ft	4.92kcfs
08/26 11:15	7.96ft	4.76kcfs
08/26 11:00	7.86ft	4.62kcfs
08/26 10:45	7.75ft	4.47kcfs
08/26 10:30	7.71ft	4.41kcfs
08/26 10:15	7.61ft	4.28kcfs
08/26 10:00	7.46ft	4.08kcfs
08/26 09:45	7.36ft	3.95kcfs
08/26 09:30	7.22ft	3.77kcfs
08/26 09:15	7.11ft	3.64kcfs
08/26 09:00	7.02ft	3.53kcfs
08/26 08:45	6.93ft	2.97kcfs
08/26 08:30	6.91ft	2.84kcfs
08/26 08:15	6.82ft	2.29kcfs
08/26 08:00	6.78ft	2.08kcfs
08/26 07:45	6.73ft	1.84kcfs
08/26 07:30	6.69ft	1.67kcfs
08/26 07:15	6.64ft	1.48kcfs
08/26 07:00	6.62ft	1.41kcfs
08/26 06:45	6.57ft	1.25kcfs
08/26 06:30	6.50ft	1.05kcfs
08/26 06:15	6.39ft	0.793kcfs
08/26 06:00	6.37ft	0.753kcfs
08/26 05:45	6.35ft	0.715kcfs
08/26 05:30	6.27ft	0.582kcfs
08/26 05:15	6.16ft	0.436kcfs
08/26 05:00	5.95ft	0.248kcfs
08/26 04:45	5.85ft	0.188kcfs
08/26 04:30	5.80ft	0.163kcfs
08/26 04:15	5.70ft	0.123kcfs
08/26 04:00	5.60ft	0.092kcfs
08/26 03:45	5.46ft	0.0612kcfs
08/26 03:30	5.26ft	0.0337kcfs
08/26 03:15	5.15ft	0.0237kcfs
08/26 03:00	5.15ft	0.0237kcfs
08/26 02:45	5.13ft	0.0221kcfs
08/26 02:30	5.06ft	0.0178kcfs
08/26 02:15	5.04ft	0.0168kcfs
08/26 02:00	5.07ft	0.0184kcfs
08/26 01:45	5.11ft	0.0207kcfs
08/26 01:30	5.06ft	0.0178kcfs
08/26 01:15	5.07ft	0.0184kcfs
08/26 01:00	5.10ft	0.02kcfs
08/26 00:45	5.14ft	0.0229kcfs
08/26 00:30	5.14ft	0.0229kcfs
08/26 00:15	5.06ft	0.0178kcfs
08/26 00:00	5.13ft	0.0221kcfs
08/25 23:45	5.14ft	0.0229kcfs
08/25 23:30	5.14ft	0.0229kcfs
08/25 23:15	5.12ft	0.0214kcfs
08/25 23:00	5.01ft	0.0154kcfs
08/25 22:45	5.13ft	0.0221kcfs
08/25 22:30	5.09ft	0.0194kcfs
08/25 22:15	5.23ft	0.0307kcfs
08/25 22:00	5.24ft	0.0317kcfs
08/25 21:45	5.12ft	0.0214kcfs
08/25 21:30	5.15ft	0.0237kcfs
08/25 21:15	5.13ft	0.0221kcfs
08/25 21:00	5.05ft	0.0173kcfs
08/25 20:45	5.06ft	0.0178kcfs
08/25 20:30	5.11ft	0.0207kcfs
08/25 20:15	5.17ft	0.0253kcfs
08/25 20:00	5.22ft	0.0298kcfs
08/25 19:45	5.21ft	0.0289kcfs
08/25 19:30	5.30ft	0.038kcfs
08/25 19:15	5.18ft	0.0262kcfs
08/25 19:00	5.07ft	0.0184kcfs
08/25 18:45	4.94ft	0.0118kcfs
08/25 18:30	4.84ft	0.0081kcfs
08/25 18:15	4.64ft	0.0044kcfs
08/25 18:00	4.44ft	0.0024kcfs
08/25 17:45	4.36ft	0.0018kcfs
08/25 17:30	4.21ft	0.0013kcfs
08/25 17:15	4.23ft	0.0014kcfs
08/25 17:00	4.02ft	0.0005kcfs
08/25 16:46	3.98ft	0.0003kcfs
08/25 16:45	3.98ft	0.0003kcfs
08/25 16:30	4.04ft	0.0006kcfs
08/25 16:15	4.10ft	0.001kcfs
08/25 16:00	3.87ft	0.0001kcfs
08/25 15:45	4.08ft	0.0008kcfs
08/25 15:30	3.90ft	0.0002kcfs
08/25 15:15	3.92ft	0.0002kcfs
08/25 15:00	3.88ft	0.0001kcfs
08/25 14:45	3.65ft	0kcfs
08/25 14:30	3.79ft	0.0001kcfs
08/25 14:15	3.75ft	0kcfs
08/25 14:00	3.56ft	0kcfs
08/25 13:45	3.56ft	0kcfs
08/25 13:30	3.47ft	0kcfs
08/25 13:15	3.51ft	0kcfs
08/25 13:00	3.53ft	0kcfs
08/25 12:45	3.65ft	0kcfs
08/25 12:30	3.53ft	0kcfs
08/25 12:15	3.46ft	0kcfs
08/25 12:00	3.50ft	0kcfs
08/25 11:45	3.47ft	0kcfs
08/25 11:30	3.61ft	0kcfs
08/25 11:15	3.69ft	0kcfs
08/25 11:00	3.67ft	0kcfs
08/25 10:45	3.69ft	0kcfs
08/25 10:30	3.79ft	0.0001kcfs
08/25 10:15	3.85ft	0.0001kcfs
08/25 10:00	3.94ft	0.0002kcfs
08/25 09:45	3.96ft	0.0003kcfs
08/25 09:30	3.99ft	0.0004kcfs
08/25 09:15	4.18ft	0.0012kcfs
08/25 09:00	3.73ft	0kcfs
08/25 08:45	3.81ft	0.0001kcfs
08/25 08:30	3.95ft	0.0003kcfs
08/25 08:15	3.99ft	0.0004kcfs
08/25 08:00	3.90ft	0.0002kcfs
08/25 07:45	3.69ft	0kcfs
08/25 07:30	3.87ft	0.0001kcfs
08/25 07:15	3.80ft	0.0001kcfs
08/25 07:00	3.56ft	0kcfs
08/25 06:45	3.49ft	0kcfs
08/25 06:30	3.40ft	0kcfs
08/25 06:15	3.28ft	0kcfs
08/25 06:00	3.33ft	0kcfs
08/25 05:45	3.12ft	0kcfs
08/25 05:30	3.07ft	0kcfs
08/25 05:15	2.92ft	-999kcfs
08/25 05:00	2.73ft	-999kcfs
08/25 04:45	2.54ft	-999kcfs
08/25 04:30	2.26ft	-999kcfs
08/25 04:15	2.22ft	-999kcfs
08/25 04:00	2.29ft	-999kcfs
08/25 03:45	2.21ft	-999kcfs
08/25 02:30	2.21ft	-999kcfs
08/25 02:15	2.26ft	-999kcfs
08/25 02:00	2.37ft	-999kcfs
08/25 01:45	2.52ft	-999kcfs
08/25 01:30	2.35ft	-999kcfs
08/25 01:15	2.36ft	-999kcfs
08/25 01:00	2.29ft	-999kcfs
08/25 00:45	2.31ft	-999kcfs
08/25 00:30	2.47ft	-999kcfs
08/25 00:15	2.35ft	-999kcfs
08/25 00:00	2.40ft	-999kcfs
08/24 23:45	2.37ft	-999kcfs
08/24 22:30	2.62ft	-999kcfs
08/24 22:15	2.57ft	-999kcfs
08/24 22:00	2.61ft	-999kcfs
08/24 21:45	2.65ft	-999kcfs
08/24 21:30	2.61ft	-999kcfs
08/24 21:15	2.66ft	-999kcfs
08/24 21:00	2.70ft	-999kcfs
08/24 20:45	2.71ft	-999kcfs
08/24 18:30	2.36ft	-999kcfs
08/24 18:15	2.19ft	-999kcfs
08/24 18:00	2.17ft	-999kcfs
08/24 17:45	2.30ft	-999kcfs
08/24 17:30	2.32ft	-999kcfs
08/24 17:15	2.39ft	-999kcfs
08/24 17:00	2.13ft	-999kcfs
08/24 16:47	2.05ft	-999kcfs
08/24 16:45	2.05ft	-999kcfs
08/24 16:30	1.90ft	-999kcfs
08/24 16:15	1.82ft	-999kcfs
08/24 16:00	1.85ft	-999kcfs
08/24 15:45	1.75ft	-999kcfs
08/24 15:30	1.77ft	-999kcfs
08/24 15:15	1.64ft	-999kcfs
08/24 15:00	1.60ft	-999kcfs
08/24 14:45	1.57ft	-999kcfs
08/24 14:30	1.53ft	-999kcfs
08/24 14:15	1.67ft	-999kcfs
08/24 14:00	1.65ft	-999kcfs
08/24 13:45	1.74ft	-999kcfs
08/24 13:30	1.80ft	-999kcfs
08/24 13:15	1.84ft	-999kcfs
08/24 13:00	1.85ft	-999kcfs
08/24 12:45	1.99ft	-999kcfs
08/24 12:30	1.99ft	-999kcfs
08/24 12:15	2.02ft	-999kcfs
08/24 12:00	2.06ft	-999kcfs
