# Observed for Oyster Creek
# 
# Observed Data:
# |Date(CDT)|	|Stage|
June 02 2016 08:00	6.50
June 04 2016 02:00	13.4
June 04 2016 15:00	14.55
June 05 2016 06:00      15.9
June 05 2016 14:00	16.5
June 06 2016 18:00      17.45
June 07 2016 18:00      17.6
June 08 2016 18:00      17.62
June 09 2016 18:00      17.60
June 10 2016 18:00      17.51
June 12 2016 11:00      17.1
June 13 2016 08:00      16.9
June 13 2016 18:00      16.8
June 14 2016 18:00      16.6
June 16 2016 18:00      16.2
June 17 2016 19:00      15.1
June 18 2016 08:31      14.5




